高新万达广场	工业南路与会展东路交汇处	117.1277760,36.6842760
阳光城未来悦	牧华路三段南侧（警卫局旁）	104.0580520,30.4842330
福星华府誉境	姑嫂树路福星华府誉境	114.2552500,30.6373050
纽约豪园	北京市朝阳区小庄6号院	116.4703010,39.9157120
金尚俊园	万宏路与白云路交汇处	102.7288620,25.0641670
保利未来城市	稔洲村轮渡路	113.6491020,22.8345960
新东升佑园	高新区万杰路与金晶大道交汇处	118.0724220,36.8423760
熙海岸花园	北山湾路38号（北山湾泳场旁）	116.7631454,23.3149014
施格名门	云岩宝山北路366号（贵州日报社旁）	106.7194460,26.5935860
伟清泊客	松牌路87号（松牌路立交附近）	106.5111400,29.5894990
鲁中颐丰花园	中润大道与北京路东北角（千亩休闲公园附近）	117.9964110,36.8385850
龙湖西府原著	沈辽路2号	123.2834670,41.7583390
康大龍祥滙	黄埔中新知识城旺村地铁站旁查看地图	113.3501860,23.1827790
双河村	瑶海-汽车站-淝光路	117.2953260,31.8754890
金色半山	清溪东莞市清溪镇银利高尔夫旁查看地图	113.8377000,22.5938640
建业LAVIE半英里	熊儿河路盛和街交叉口南100米	113.7633370,34.7780470
慢步江湾	湘江中路南郊公园以北500米（火车头公园旁）	112.9651910,28.1409360
荣宏富家	东港大道与东廊路交界处	120.5198320,31.6453610
泰禾-红悦	乌龙江南大道99号	119.2363780,25.9863210
渝兴嘉悦山水	礼嘉礼仁街575号（轨道6号线金山寺旁）	106.4885990,29.6890560
港湘铂玥府	金星北路四段89号（罐子岭公交站北侧）	112.9138700,28.2994820
丽都锦里	渝南大道45号（轨道3号线九公里站旁）	106.5629600,29.4660170
中梁天颂	苏州市吴中区浦庄大道与锦福路交汇处	120.5059900,31.1626190
国信中央新城	南关区金宇大路与新明街交会	125.3149520,43.7964750
唐冶院士谷	历城唐冶西路与世纪大道交汇处路西查看地图	117.2187050,36.6923030
科大广场	青羊东街8号	104.0449040,30.6718340
大苑-海淀府	西四环外2000米，田村路北大苑·海淀府	116.2988730,39.8906530
天业翠苑	白马山南路17号	116.9505730,36.6248940
金科集美学府商铺	成都市双流区东升街道藏卫路北一段123号	103.9328440,30.5790360
青岛中海玫瑰庭院	清溪路88号	120.5067580,36.1926520
宽寓大厦	芙蓉万家丽路新世纪家园	113.0315620,28.1864110
美景美境	国基路渠东路交汇处东北角,	113.6671000,34.8206630
保利溪湖林语	天和道保利溪湖林语	117.1237030,39.3235620
千叶公园时代	九龙坡二郎科技大道88号	106.4653520,29.5041230
缤虹星城	婺城宾虹西路和330国道交叉口查看地图	119.2535740,29.3109410
招商东望府	包河区哈尔滨路与天津路交叉口	117.3566445,31.8079614
富都广场	回兴街道兴科大道499号（永辉超市对面）	106.5985610,29.6851670
乾唐臻品	乾姜路与西兰路交汇处东北角	108.2640670,34.5224390
晓龙明珠	新市政府西300米	120.8454730,37.3338290
佘山月湖山庄	林荫新路255弄	121.2252620,31.1014480
珑悦	柳泉路与中润大道交汇处东100米路北	118.0646020,36.8475140
泰宇城市中央	惠州江北金龙大道与乌石二路交汇处（金泽物流园对面）	114.4265960,23.1409420
翔园	二环南路东段80号	108.9870990,34.2382840
美的桂畔君兰	李家沙水道美的桂畔君兰	113.2559570,22.8587660
紫荆商业广场	江北黄泥塝紫荆路（洋河体育场对面）	106.5338800,29.5891180
天麟天瑞	东莞市大朗镇富民中路与长富中路交汇处	113.9241540,22.9385920
朵力名都	马王乡车站前行100米	106.4860530,29.4944070
正中峰璟湾	德政中路与107国道交汇处	113.8245590,22.8160550
上书房	柯桥区笛杨路1628号	120.4885800,30.0807770
竞衡古北88大厦	上海市长宁区荣华东道88号409室	121.3972900,31.1962690
山水华城	三原县中国原点新城紧西邻高太路以北	108.9666190,34.4553910
五芳斋芳华苑	东至秀州大道，南至兴耀商务广场，西至清涟路，北至成秀路	120.6919120,30.7864470
翡丽公馆	经七路红旗路向北100米路西	113.6722560,34.7768230
绿城蘭园	铜川路228号	120.4531370,36.1682040
光合院	团泊新城光合谷旅游度假区内光合院邻里中心	117.1730100,38.8955760
卓越维港	漓江西路卓越维港	120.1939080,35.9458090
滨河四季云庭	苏州市高新区滨河路东横山路北	120.5769250,31.2797120
锦顺名居	龙华区水围片区华宁路与塘坑路交叉口东北侧	114.0028630,22.6888580
兰庭一号院	唐林南路与群英道交叉口东行100米（十八号小区市场东侧）	118.4636720,39.7139250
绿城-长兴广场	雉城镇道园路19-37号	119.9041090,31.0036230
三水碧善轩	三水区西南街道康乐路62号	112.9074670,23.1667810
泊月湾	南太湖旅游度假区太湖路6188号	120.1026300,30.9630960
高力万汇城	浏阳市道吾山路与南泥湾路交汇处	113.6209660,28.1752000
芝柏经典	杏园东路34号	118.0647960,36.7881890
龙源华府	位于大亚湾西区龙海三路与龙山五路处	114.4552900,22.7278100
河畔华苑	烟台龙口市泳汶河大桥西300米	120.5301150,37.4927480
精锐SOHO	仙鹤街2号	118.7745320,32.0194940
秋润家园	大沽南路和洪泽路交口	117.2405760,39.0858830
浩盛嘉泽园	金山大道1号	114.4406590,23.0563590
海信千亩园	大田路2997号	120.6349570,36.4475780
翰弘林溪郡	燕赵北大街与107国道交口东行600米路南	114.5784440,38.1817740
宝能藏珑	官渡路宝能藏珑	120.5755422,30.0511339
泛迪中心	兴宁路与彩虹路交界处	121.5615630,29.8511030
上海豪都国际花园	沪青平公路1881号	121.2770950,31.1645800
泰禾杭州院子	文二西路与常二路交汇处。	120.0342360,30.2723530
欧美风情小镇	第五大街京山铁路立交桥下（825路终点站）	117.7304120,39.0037500
龙凤翔城	德惠市西八道街和松柏路交会处	125.7033510,44.5241210
海逸卡拉公寓	禅炭公路（松岗旧政府地段旁）	112.5822900,22.7799820
乡鸭湖小区	昆明周边宜良县匡远镇乡鸭湖大道	103.1626280,24.9146060
横山归原小镇	横山镇	106.6919240,29.1062160
中庄翠庭	中山市西区隆平路10号（彩虹酒店后面）	113.3328760,22.5624080
北大资源御城	华南MALL旁	113.7224770,23.0342200
金裕星河梧桐湾	高新区潼湖生态智慧区	114.2942110,22.9885310
保利麓湖	广清高速龙塘出口右转约6公里	113.2007010,23.3333090
晋合水巷邻里花园	金鸡湖路1号（金鸡湖西岸）	120.6825740,31.3052680
东江银湾	涂山路以北、平水东江以西、森海豪庭以南、门前江以东	120.6196280,29.9894690
潼南华夏天宇	潼南凉风垭（CLD）四方花园大门左侧上行30米	105.8346810,30.1684590
宝晟蓝庭	鹿泉区和平西路与石柏南大街交口西北角	114.3337420,38.0778380
晴园	海曙区宋晴路399家漕关爱小区南面（晴园一期南侧）	121.4927120,29.8783480
中冶一曲江山	重阳路与小重阳巷交汇处西南角	108.9939980,34.2172560
城南春天	多宝路以东、多元路以南、河西路以西、博学路以北	120.8793680,29.9928560
翔安-正荣府	中国・厦门・厦大旁（翔安校区）	118.3098600,24.6086980
绿地锦天府	通盈街88号	104.1040800,30.6299880
永桥-尚城	万宁市万城镇望海大道南侧	110.3984720,18.8255160
招商雍景湾	北环路招商雍景湾	113.9801800,23.0274250
碧桂园翘楚棠	永安大道碧桂园翘楚棠	103.6593000,30.9733130
平沙九号	升平大道中219号	113.1871230,22.0943230
阳光城碧桂园-愉景湾	长乐市营前新区港南路与体育场路交接处	119.4701810,25.9492420
中建商务广场	明光路中建商务广场	108.9320720,34.3663680
中国铁建中铁5号	城南文长路68号（足光纸箱厂旁）	106.3964910,29.7993020
境界梅江	友谊南路境界梅江	117.2005530,39.0409150
水润年华	联合路163号（市28中学原址）	123.4772090,41.8249780
颐中山水缘	淄川山川路1号	117.9602690,36.6314490
巴南新鸥鹏教育城商业街	巴南巴南轻轨三号线金竹站旁	106.5259300,29.3743050
泰宏建业国际城	大学路与南三环交汇处向南800米	113.6417570,34.6845870
正荣紫阙台	南湖大道208号	114.3994870,30.4796410
雅居乐常州熙悦府	红河路雅居乐嘉宏东渡·熙悦府	119.9781110,31.8736090
锦地翰城	海口白水塘路11号（丘海大道与椰海大道交汇处）查看地图	110.2944570,19.9761020
碧桂园凤凰山庄C区	虎山东路凤凰山庄C区	121.4293440,37.4832750
首创禧悦大观	沈阳市铁西区重工街与北二西路交汇处，铁西区政府西行200米	123.3339620,41.8208490
东渡国际青年城	秣陵街道天元中路68号	118.8387800,31.9308410
伊顿上郡	郑州市经济技术开发区第三大街与经南五路交汇处东南角	113.7451270,34.7137140
金呈北泰花园	盘江东路与马村立交桥交汇处	102.7141260,25.0769660
凯辰玥明台	绿岛新区•云巴秀湖公园站（建设中）旁	106.2037650,29.5848960
天和湖滨艺墅	东亭路425号（晚霞路口）	121.7539700,31.1812150
华泰湖境尚都	秦都区统一广场正北	108.7175880,34.3310580
五湖名邸西区	东月路五湖名邸西区	109.0396500,34.2292190
金侨新梅江壹号	解放南路东侧新梅江卫津河公园与太湖路公园旁	117.2418520,39.0364720
万科金色溪谷花园	南海佛山市南海区里水盐南路河村通道（旗峰中学后门）	113.1535990,23.1668610
万科公园大道	航天大道与航天东路交汇处西南角	108.9964030,34.1738010
融创长江壹号	北二环路与颍上路交口	117.2692680,31.8983470
日昇山水苑	海兴路5号（新兴街和海兴路的交叉路口北100米）	121.1643500,36.7908600
经纬-新天地	蔡家坡镇渭北东路与科技路十字圣元酒店附近	107.6233140,34.3113770
碧海蓝天花园	青澳湾北回归线广场西南侧	117.1358000,23.4428230
新城樾隽中央	衡山路以东、河海路以北	119.9744750,31.8217790
美的金辉郡	眉山市仁寿县文化公园	104.0430890,30.6604700
金大地天元府	北一环与明光路交口向东500米	117.2982580,31.8798750
恒宇北城1号	临邛镇蜚虹路333号（永义诊所旁）	103.4752610,30.4160090
金悦相府	红旗路与苏州路交汇处	119.9622220,36.7867100
原河名墅	中华北大街与翠屏西路交汇处东南角,中华北大街567号	114.4767960,38.1153500
九龙仓君玺	东新路21号	120.1762300,30.2843500
翰林龙府	阜阳路与涡阳路交口	117.2772110,31.9054510
沙发公寓	桐梓坡路123号（湘雅附三对面）	112.9429010,28.2178730
御翠天峯	丹青路1号	119.9771310,31.7697210
富力惠兰美居	通州区朝阳北路延长线和陈列馆路交汇处	116.6734180,39.9303490
山水文苑	渭滨区高新大道28号	107.2174800,34.3465120
长嘉汇两江峯	南滨路长嘉汇四期小区	106.5875830,29.5780840
万悦城	泉山区玉带路与三环南路交叉口	117.1311960,34.2387480
财信九悦府	高新区·陶家天盐路1号	106.3513300,29.3620330
奥伦达部落原乡	古崖居风景区西侧，官厅湖北岸三公里	115.7754800,40.4630000
宇航-三洲盛景	邛崃市司马大道文南路口	103.4732950,30.4074100
裕湾花园	蒲河路5号	123.3816310,41.9409040
鹏惠金街	惠州大亚湾西区龙山一路29号鹏惠花园	114.4221790,22.7593600
河畔蓝调国际	东城运河东一路118号（花园新村片区）	113.7577080,23.0549460
聚龙湾	新城区裕兴路金沙湾花园地铺	113.8707640,23.1043760
嘉林花园	朝阳-酒仙桥-嘉林路甲1号	116.4800990,39.9710520
永安居	金柳大街永安医院北侧	108.8395157,34.5442085
新天地鹭港21区东	光明路与翔云道交叉口西南侧	118.1405980,39.6443490
公园道壹品	胜利路以西，汶源大街以北	117.0437970,36.7407860
蓝光雍和园	金榜路与红花湖路西交汇处	114.3834580,23.0753030
中昂-合府	合川大学城·学府一路（工商职业学院对面）	106.2267500,30.0080000
彰泰春岸雅筑	锡东新城商务区润锡中路东、东翔路南	120.4621390,31.5889670
嘉宏锦时	银河北路嘉宏锦时	113.8281540,23.1116860
西城龙庭	岳麓大道与金星大道交汇处西南角	112.8039430,28.3155460
金沙风华水岸	沙岭街道安岭路（金沙城北门对面）	123.1903140,41.7902310
滨湖惠园	包河-四十六中-惠园路	117.2809220,31.7388380
祥生钱塘新语	海宁下沙大学城北启潮路72号	120.2230830,30.2935750
安吉慢谷	经济开发梅园路与草原路交叉口向东500米	120.0992930,30.3029150
正邦岭秀城	岭南路正邦岭秀城三期	113.5494050,22.2336460
康桥东麓园	北白象镇104国道与交通北路交汇处（江南洲际酒店西侧）	120.8535840,28.0393340
森海豪庭	西店镇滨海路61号	121.4425460,29.4852710
瓯海之光	茶山环山南路（温州乐园对面）	120.2030870,27.7146740
哥特帝景	露甲山路39号	114.2476750,30.7043050
格林观堂	长白西路(工农桥南侧第一个交通岗西侧300米）	123.3958690,41.7473790
纽宾凯汉city国际社区蜜城	四新北路纽宾凯汉city国际社区	114.2070350,30.5338460
华豪花园洋房	湖滨路华浮宫酒店西侧	108.9807850,34.3992600
南宁恒大帝景	那历路9号（那历路与洪胜路交汇处）	108.2583600,22.7695190
金地博登湖澜庭	塘厦镇景观大道——迎宾大道塘厦出入口	114.0676360,22.8087820
桃李春风花园	济南市历城区英雄山路与二环南路交汇处8公里路西	117.0015700,36.5970590
蓝光青城河谷国际度假区	聚青路169号	103.6228310,30.8925160
太子湖畔星苑	汉阳-永旺-芳草二路	114.1988680,30.5325210
南山美锦	富兴南路88号	120.9367360,32.0494780
旭辉江山	佛山市三水区颂和路与鲁村路交叉口北100米,佛山市三水区云东海街道鲁村路18号	112.9125340,23.1823640
明湖未来公馆	张桓路明湖未来公馆	118.0510450,36.8525180
凯德风尚	成飞大道南段199号	103.9580430,30.6701820
远洋青云府	穿金路729号	102.7470370,25.0732760
栖游记	后海大道与花果山路交汇处	113.9323370,22.5012350
领创誉园	南海区西樵镇樵金路155号	112.9789380,22.9578000
裕昌太阳城	丈八东路123号	108.9077090,34.1995270
御景溪岸	双阳大街与山河路交汇	125.6804070,43.5283130
西派宸樾	来凤一路249号	103.9827730,30.6114700
之江门	西湖荷间弄路与龙起路交叉口查看地图	120.1082230,30.1675710
蓝山印象小区	桥西西二环与振岗路交叉口西行100米路南	114.4081040,38.0205490
万燊花苑	惠环街道和畅四路6号（计算应用孵化中心旁）	114.3550960,23.0272500
绿城千岛湖柳岸晓风	淳安县青溪新城珍珠大道与珍珠一路交汇处	119.0539680,29.5987590
旺府凯旋门	龙工南路777号（蓝色理想正对面）	104.2551660,30.5419050
银海樱花语	官渡区广福路与珥季路交汇处	102.7493740,24.9573760
碧桂园新城十里春风	祥和路与包公大道交口西北角	117.4263570,31.8924570
龙光碧桂园悦府	中心城区9号	113.4770230,23.1890730
九鼎峯境	金山大道21号	106.1040140,29.8460980
龙栖湾-波波利海岸	九所龙栖湾	108.9806840,18.3801050
联运-尚景雅园	博罗新城·联运大厦旁	114.2644770,23.1681340
新华尚水湾	沿河大道519号（麦德龙旁）	114.2138680,30.5856320
东恒阳光嘉园	黑墨营98号	118.8175140,32.0896040
光大江与城	高埗大道旁	113.7206810,23.0996500
麓湖半岛	蓝田县G70(福银高速)滨河东路与青灞路交汇处北侧	109.2996340,34.1648170
佳慧雅园	西单东南地区F2区二期西绒线胡同26号	116.3764300,39.9034110
统建天成美景	光谷一路与湖口一路交汇处	114.4365510,30.4847550
盘龙理想城	巨龙大道56号	114.2864580,30.7087350
亨通吴越嘉苑	南浔湖浔大道与万顺路交汇	120.4171480,30.8651650
财信圣堤亚纳	黄河东路以西，商都路以南，西邻七里河	113.7533160,34.7561700
乐筑良品	投资创业中心C区，北沿长阳路西临姜湖路	121.4789110,29.9465320
奥山弘阳题红樾里	茶园路奥山弘阳题红樾里	120.7670760,30.8264520
香港嘉华南站G89地块	龙西路以南地块	118.7656650,31.9622450
绿地湖湘中心	枫林路与银盆南路交汇处西北角（交警大楼西侧）	112.9525410,28.1977880
阳光水岸	标山路22号	116.9999730,36.7019870
颐居富春山	城南街道路岩坞口地块	119.7422400,29.7826980
家乐名苑	歧山东路3号	123.4380480,41.8238640
创智金宸	康信路601号	120.2407960,30.4592770
阳光雅苑	南山南山区南山大道	113.9250510,22.5287130
方正御星	杭行路与祥富路交叉口，万达广场旁	120.1185000,30.3335310
碧桂园翰林府	昌硕西路518号	119.6762140,30.6271180
佰度SOHO	红叶路39号(红锦大道东侧)	106.5262450,29.6035740
雅戈尔新东城	东吴镇	121.7413960,29.8167930
吉成福园	德惠市东风路九十道街中间	125.7233220,44.5380920
北京风景	京藏高速30出口（昌平城区）向东，南环大桥东1000米,双营西路67号院	116.2901690,40.2128640
翰林颐园	新华路与长兴街交口南行100米路东	114.4086240,38.0573060
上东国际	龙潭路3号（龙潭立交桥旁）	104.1624220,30.7004580
名门翠园	丰庆路三全路交汇处向西100米路北	113.6458520,34.8312280
中海星湖国际	现代大道北	120.6779540,31.3226780
托斯卡纳	雨花区湘府东路二段28号	113.0356300,28.1146000
万科北宸之光	御窑路1260号	120.6102860,31.3906600
碧海红树园	福田福田区福荣路与滨河交界处	114.0368710,22.5165260
外滩江月湾	瓯江路外滩江月湾	120.7485250,27.9928880
荷岸晓风	文灵路999号	120.5974380,31.3973870
元氏现代城	蟠龙路与嘉惠街交叉口西行50米	114.5138860,37.7574820
正兴福海苑	青岛即墨市普东镇福海路28号	120.3241920,36.4408010
龙湖九墅	锡沪中路北、东亭中路东（锡山区政府向东约500米）	120.3557280,31.5896910
祥源城湖山小筑	望江西路与创新大道交叉口	117.1340900,31.8303070
珍贝翰林府	吴兴康泰路与东尼路交叉口西南角查看地图	121.0658920,31.0925080
当代ΜΟΜΛ大湖上品	百盛路与莺脰湖路的交汇处	120.6471460,30.9725890
德信九溪云庄	丽景路与转之路交叉口	120.0915220,30.1571970
金科星辰	巴国城西迎宾大道与双山路交汇处	106.4575520,29.4857950
成都恒大云锦华庭	大同路成都恒大云锦华庭	103.8840270,31.0087400
银领名轩	长平路北侧（香格里家园东侧）	116.7524920,23.3625720
宏光合园	第七大街99号	113.7621860,34.7191550
万科璞悦山	江浦街道沿山大道231号	118.5988780,32.0706360
万德世家	廉州路与东城街交口广场北行100米路西（原藁城工具厂）	114.8525180,38.0230830
夏都海岸	北戴河新区戴河大街南侧光明路与云海路交汇处东行50米查看地图	117.8330910,39.3289720
英冠天地城	义隆路与义蓬路交叉口	120.4890540,30.2677070
金桥水岸	光华路和华清街交叉口北行150米路东	114.5392790,38.0577980
信城-湘江揽月	望城区潇湘北路与星月路交汇处，月亮岛旁	112.9598340,28.2399830
世茂香槟湖	新北巫山路东侧，太湖东路软件园附近	119.9908630,31.8130810
港航华庭	进港大道582号	113.5802330,22.7975750
凌联新村	浦东-洋泾-浦东大道1623弄	121.5426020,31.2464530
金科集美天宸	港通北三路800号	103.9404400,30.7967790
城市代号	龙岗区中心城33区龙翔大道与岗贝路交汇处南	114.2466240,22.7234710
蓝城桂语江南	永平路蓝城桂语江南	119.9936920,30.5613850
恒屹双子座	大理石路内前行100米	106.7067480,26.5529770
启航花苑	嵊州市高新园区启航路与新104国道启航花苑营销中心	120.8432080,29.6479250
东岸公馆	金惠大道与内环路交汇处（琼苑大酒店斜对面）	114.4366470,22.7763090
贵安时代城市花园	天河潭大道交顺达路西北侧	106.4895580,26.4754210
巴黎经典花园	白塔辽阳市太子河区新华路东三里街南查看地图	123.4215670,41.6897780
锋泰公园里	鲁泰文化路锋泰公园里	117.9856900,36.6368990
乾基九境城	鹿苑大道与六号路交汇处	109.0816760,34.5107430
恒大帝景	甲秀北路8号	106.6708170,26.6033260
君御	海棠北路68号	109.7399740,18.3442330
融创金成臻蓝府	桃源街与观桃路交口处	120.1697680,30.3474900
江南文旅小镇	范伊公路江南文旅小镇	125.0638050,43.7033940
中铁城	甘洪路与荆溪大道交汇处	119.2158010,26.1150320
美丽湾	天屹路与吴越大街交叉口，兰锦路东侧	119.7121310,30.2200530
中海锦城	北京南路与福新路交汇处南800米	121.2228790,37.5431880
景湖蓝郡	广东省东莞市东城街道蓝郡2期	113.7651060,22.9876160
泗泾绿中海	松江区泗泾镇沪松公路、古浪路	121.2836890,31.1151580
望湖玫瑰园	吴中甫澄中路与迎新一路交汇处	120.8719670,31.2375670
仟信广场	仟信街12号	113.6075030,23.5612880
蓝润蓝客城	熊猫大道与青狮路交汇处	104.1328200,30.7221330
金融街九龙金悦府	岩新城华福大道公交1站旁	106.4442200,29.4530970
溪山华庭	溪口镇龙溪线与中兴东路交汇处	121.2977960,29.6946150
绿地国际金融城商业	武昌区和平大道840号（湖北大学附近）	114.3248600,30.5823590
太阳世家	南关区蔚山路与芳草街交会南行200米	125.2762060,43.8134620
柏堰雅苑	肥西-肥西县城-明珠大道	117.1458130,31.8034400
金地峯范	胜竹路金地峯范	121.2287210,31.3899550
咏兰郡	福明南路与兴宁路交叉口（地铁4号线矮柳站）	121.5883560,29.8492310
振泰汪集豪庭	汉新公路（汪集公交站往邾城方向20米）	114.7019650,30.7735670
天成一品	朝阳路65号（朝阳路与华东路交汇处）	108.3159240,22.8233970
美的云璟	龙泉路昆八中北侧	102.7347750,25.0843110
翔和雅苑	德园路1509弄	121.2977250,31.3123210
远洋大河宸章	沈水路（富民桥西行900米）	123.4156220,41.7607740
海蔚广场	花园路101号	117.0639070,36.6848640
凯旋一号上水湾	江南大道1号	108.3371530,22.7897640
盛世豪廷	青草河公园以西，大润发超市东南面	117.0180710,36.6886330
华悦名苑	中堂鹤田村107国道旁	113.6834860,23.0782350
景瑞望府	锡东大道与兴越路交汇处	120.4770480,31.5944500
南沙金茂湾	凤凰大道外国语学院对面	113.5210240,22.7799060
金茂万科都会四季	新塘镇东江大道与沿江大道交界处	113.6285860,23.1086600
龙林上观	益康二路龙林西苑	114.4632130,22.8253920
新华御府	德贤路与康和路交汇处（金山张堰镇政府旁）	121.3009570,30.7981980
尚观御园	罗村北湖一路（罗村实验小学对面）	113.0528990,23.0692200
阳光水岸苑	普陀-桃浦-真南路3489弄	121.3432720,31.2901860
宽泰铂园	康元路宽泰铂园	120.6323890,31.3969080
天业盛世花城	东部新城核心地段	117.1692500,36.7097060
富力城	京白路与北一环路交口南行600米路西	116.0581520,39.1489730
广州绿地城	中新知识城九龙大道旺村地铁站西侧50米	113.5487770,23.3227580
后浪悦府	惠阳区白云一路（新都汇大酒店路对面）	114.4176250,22.7646780
静海明珠	北京北路169号	121.0079710,37.7150970
昇锋御景东方	登封市少林大道和阳城路交汇南200米路西	113.0562710,34.4548760
融信海纳印象	真南路融信海纳印象	121.3796400,31.2703950
紫薇国际生态城	高新国际社区灵韵北路与灵沣东十字东南角	108.9038500,34.2318100
高新-天谷雅舍	云水二路与天谷四路十字西北角	108.8362830,34.2066680
恒天广场	秦都区人民中路16号	109.2298220,34.6581190
敬山府	富源中路敬山府	106.7429740,26.5492390
远洋简宫	开发区第二大街与太湖东路交口南侧	117.7220460,39.0139790
紫东佳苑	罗峰路东，北园路北	120.4016740,37.3706560
中通玖玺华府	彩云南路与联大街交汇处	102.8340180,24.8596080
恒大金融广场	湘府中路与万芙北路交汇处	112.9987280,28.1111830
橄榄园	水口街道办事处龙湖五路3号（丰泽商务酒店旁）	114.4558060,23.1096750
华亚新领地	武昌雄楚大街128号(丁字桥路西)	114.3240230,30.5190090
九龙仓国宾1号	新北河海东路108号（马哥孛罗酒店向西100米处）	119.9959330,31.8191830
陶然湾-黄金泉	海南省三亚市海棠湾南田温泉旅游度假区神泉大道（东线高速藤桥出	109.7169800,18.3995030
中海市北区四流南路245号地块项目	四流南路245号	120.3844680,36.1477430
瀚海首筑	红峰村国宾大道北侧	119.2030390,26.0676710
天然城	祁连大街122号，祁连大街与学苑路交口南行500米路西	114.6126370,38.0070370
溪岸上品	红石路（大庆村立交旁）	106.4993560,29.5737210
源鼎置业G25地块	东沟镇团结村奶山	119.0179270,32.3000250
利辛中南新悦府	文州大道与世纪大道交叉口西北角	117.8880000,31.6008540
龙毓尚庭	城西劳动北路362号	108.9107500,34.2901760
碧桂园星荟	番禺化龙镇翠湖工业大道9号（化龙公交总站旁）查看地图	113.4468240,23.0459480
远大林语城	航空路6号	103.9249910,30.5989480
金良基公馆	广东省惠州市惠阳区S254(叶挺大道)	114.4904580,22.9428270
蓝光雍舜府	余姚市梨洲街道城东路与远东中路交汇处（梨洲街道办往南约200米）	121.1721500,30.0123200
三缘温泉花园	龙泉汤村龙安路2号（龙泉中心幼儿园对面）	121.7793670,37.3342970
君悦半岛	舜新北路260号	120.6600420,30.9113780
月季花城	云峰路南首（云峰山下,中华月季园以南）	119.9604790,37.1301180
中兴小区	龙华-大浪-云峰路3号	114.0016890,22.6582740
福星惠誉国际城	徐东大街120号	114.3502030,30.5844370
金地印象剑桥	慈溪慈溪孙塘北路，海通路交叉口以北查看地图	121.2625010,30.1915580
宋都-如意长江	龟山路与长江西路交汇处	117.8709210,31.6129040
溪悦江南大院	担山北路与海通路交叉口	121.2652030,30.1912520
上品十六凌峰	五黄路转盘以北100米处	106.5657030,29.5792390
海伦堡-美的-玖悦府	西江新城丽景东路南	112.8414310,22.9595440
郑地-美景紫华城	郑东新区中原大道与凤栖街交汇处南/地铁八号线龙王庙站南800米	113.7070440,34.7902830
集元居	人民北路与栖凤街交汇处东北角	119.2978790,32.3282600
广平小区	槐安路中华大街交叉口西南角	114.4729770,38.0252160
金色领域	望州路北一里（明秀小区旁）	108.3279200,22.8448560
金雅中央城	龙游大道与纬四路交汇处	121.8155740,31.8999340
利航棠樾府	利航棠樾府	114.4510790,38.0278800
香开长龙	柴泊大道与翔飞路交汇处东行300米	114.6115290,30.6899730
海亮新英里	西沣路与雁环路交汇处东南角	108.8858370,34.1773710
招商依云江湾	巴滨路777号，马桑溪大桥旁	106.5047030,29.4568540
浙江堡业投资17号地块	东新路（东至东新路，南至紫庭花园，西至上塘河，北至南应加河）	120.1741850,30.2834140
城南故事	韶山路井湾子家居MALL向东300米（新一佳超市旁）	113.0074570,28.1240100
海上纳缇	金山龙皓路1588弄（近卫零北路）	121.3258000,30.7518310
融创果岭小镇	南山南路与绿杰路交叉口往东200米路南	120.4816210,37.5909240
恒大御景	白马中心路与沿河路交汇处（天安数码城旁）	113.7086400,22.9942180
越秀星汇瀚府	桂城街道深海路与桂平路交汇处	113.1768460,23.0299000
家乐苑	清扬路与永乐路交汇处,永乐路380号	120.3057330,31.5580410
金成汀云上府	高桥畈路金成汀云上府	119.9880435,30.2739219
天恒湾景	半岛六路63号	113.6327950,22.3642460
保利原乡	城东新区（杭宁高速、德清大道口）	120.0031170,30.5416260
佳兆业东江新城	江南大道	113.2745070,23.0961110
东方明珠	烟台路15号(烟台路与海洲路交汇处西行约500米）	120.5238550,36.8560270
横县碧桂园	横县茉莉花大道西段（横县中学新校区旁）	109.2504780,22.6927490
泊林花园	水贝二路和贝丽南路的交界处	114.1270610,22.5647430
武汉碧桂园公园里	金山大道·码头潭公园轻轨站A出口	114.2863670,30.5666320
锦艺昆明之光	清和路锦艺昆明之光	102.8514050,24.8742310
成城蓉桥壹号	宽城铁西街与铁北一路交会	125.3115780,43.9121960
宇诚旺庄	昌硕街道安吉县递铺镇芜园路与天水坞路交叉口	119.7128910,30.6350330
滨湖御园	永乐路滨湖御园	117.0930690,34.5823960
楚天都市鑫园	鄂城区文华路1号	114.4405970,30.4936600
天鹅堡	通州马驹桥新桥往南800米	116.5468670,39.7641300
天地源拾锦香都	木渎镇金长路389号	120.5467150,31.2675100
碧桂园和昌时代之光	移湖路与合铜路交口	117.2648470,31.2491470
融鼎新都汇	龙田镇龙西中学西侧	119.4432890,25.6088110
首开铂郡	东直门外新东路东侧(加拿大使馆向南200米	116.4496720,39.9418060
广泽南庭	环岛路上段88号	104.4323380,30.8482450
华润置地-誉澜颂	榆林大街榆林南路	123.5072300,41.8538840
蓝光-雍璟熙棠	大学路岗牛大街交叉口东北方向	113.6631690,34.5264470
孔雀城-翰邻悦府	嘉善环西南路东侧，子胥路西侧，纬一路南侧	120.9065470,30.8263320
新园华府	响水河工业区南部(比亚迪二期北面)	114.4772830,22.7353580
海印长城	南山后海路与海德三道之间	113.9361670,22.5196470
DH锦南玺	天府新区天府大道南地铁1号线海昌路站旁	104.0713340,30.5313400
乐城	平山温塘镇温塘河西侧600米	114.2070940,38.2559700
